Sports_tags,number,overlap_num,overlap_word
여자팀추월,15,10,"['여자팀추월경기', '여자팀추월경기장면', '여자팀추월경기영상', '스피드스케이팅여자팀추월', '여자팀추월불화', '여자팀추월욕먹는이유', '여자팀추월준준결승', '여자팀추월팀워크', '여자팀추월탈락', '여자팀추월기자회견']"
엄다영,15,0,[]
평창올림픽개막식,14,0,[]
콘텐츠,14,0,[]
비감,14,0,[]
gamtube,14,0,[]
레알마드리드,14,3,"['레알마드리드유벤투스', '유벤투스레알마드리드', '유벤투스레알마드리드하이라이트']"
컨텐츠,14,0,[]
injik,14,1,['kiminjik']
김인직,14,0,[]
인직,14,1,['김인직']
방송,14,1,['생방송']
동네야구,14,1,['프로동네야구']
contents,14,0,[]
2017,14,14,"['#acl2017', '#afccup2017', 'toyotavleague2017', 'v-league2017', 'chinavolleyballleague2017', '2017자선야구대회', 'koreajapan2017', '2017희망더하기자선야구대회', 'atleticomadridvsrealmadrid2017', '??????2017', '??????2017??????', 'liverpoolvschelsea2017', 'chungk?tcupqu?cgias?thienthanh2017', '2017희망더하기']"
celtics,14,37,"['bostonceltics', 'clevelandcavaliersvsbostoncelticsfullgamehighlights', 'celticsvscavaliersfullgamehighlights', 'cavsvsceltics', 'clevelandcavaliersvsbostoncelticshighlights', 'cavaliersvscelticsfullgamehighlights', 'celticsvswarriors', 'goldenstatewarriorsvsbostoncelticshighlights', 'gswarriorsvsceltics', 'warriorsvscelticsfullgamehighlights', 'cavaliersvscelticsgame1', 'celticsvscavaliersgame1', 'goldenstatewarriorsvsbostoncelticsfullgamehighlights', 'gswvsceltics', 'celticsvsbucksfullgamehighlights', 'bucksvscelticsfullgamehighlights', 'cavaliersvsceltics', 'celticsvscavaliers', 'celticsvsbucks', 'bostoncelticsvsmilwaukeebuckshighlights', 'celticsvscavaliersgame2', 'celticsvsbucksgame4', 'milwaukeebucksvsbostoncelticsfullgamehighlights', 'bucksvscelticsgame4', 'bostoncelticsvsmilwaukeebucksfullgamehighlights', 'cavaliersvscelticsgame2', 'milwaukeebucksvsbostoncelticshighlights', 'bucksvsceltics', 'sixersvscelticsfullgamehighlights', 'bostoncelticsvsphiladelphiasixershighlights', 'sixersvscelticsgame3', 'celticsvssixersgame3', 'bostoncelticsvsphiladelphiasixersfullgamehighlights', 'celticsvssixersfullgamehighlights', 'celticsvsgswarriorsfullgamehighlights', 'bostoncelticsvsgoldenstatewarriorsfullgamehighlights', 'gswarriorsvscelticsfullgamehighlights']"
반병지,14,0,[]
xuantr??ng,14,0,[]
한일전,14,2,"['한일전하이라이트', '아시안컵한일전']"
평창올림픽개회식,14,0,[]
현영민,14,0,[]
u23vi?tnam,14,10,"['đtu23vi?tnam', 'đ?ituy?nu23vi?tnam', 'u23vi?tnamvsu23iraq', 'u23vi?tnamvsu23qatar', 'fulltr?nu23vi?tnamvsu23iraq', 'tr?cti?pu23vi?tnamvsu23iraq', 'u23vi?tnam-u23iraq', '#u23vi?tnam', 'toanc?nhchi?nth?ngl?chs?c?au23vi?tnam', 'u23vi?tnamvaobank?tu23chaua']"
parkhangseo,14,0,[]
레전드,14,4,"['야구레전드', '2002레전드', '챔스레전드', '복싱레전드']"
감튜브,14,0,[]
비제이,14,0,[]
kiminjik,14,0,[]
broadcast,14,0,[]
bgam,14,1,['mlbgame']
평창개막식,14,1,['일본반응평창개막식개회식김연아yunakim드론오륜기안정환']
bostonceltics,13,11,"['clevelandcavaliersvsbostoncelticsfullgamehighlights', 'clevelandcavaliersvsbostoncelticshighlights', 'goldenstatewarriorsvsbostoncelticshighlights', 'goldenstatewarriorsvsbostoncelticsfullgamehighlights', 'bostoncelticsvsmilwaukeebuckshighlights', 'milwaukeebucksvsbostoncelticsfullgamehighlights', 'bostoncelticsvsmilwaukeebucksfullgamehighlights', 'milwaukeebucksvsbostoncelticshighlights', 'bostoncelticsvsphiladelphiasixershighlights', 'bostoncelticsvsphiladelphiasixersfullgamehighlights', 'bostoncelticsvsgoldenstatewarriorsfullgamehighlights']"
김은정,13,5,"['여자컬링김은정나이', '여자컬링김은정결혼', '여자컬링김은정인스타', '여자컬링김은정', '여자컬링김은정남편']"
vi?tnam,13,17,"['u23vi?tnam', 'bongđavi?tnam', 'đ?ituy?nvi?tnam', 'đtu23vi?tnam', 'đ?ituy?nu23vi?tnam', 'vi?tnamvođ?ch', 'vi?tnamvsafghanistan', 'u23vi?tnamvsu23iraq', 'u23vi?tnamvsu23qatar', 'fulltr?nu23vi?tnamvsu23iraq', 'tr?cti?pu23vi?tnamvsu23iraq', 'u23vi?tnam-u23iraq', '#u23vi?tnam', '#vi?tnamwinqatar', '#vi?tnamwin', 'toanc?nhchi?nth?ngl?chs?c?au23vi?tnam', 'u23vi?tnamvaobank?tu23chaua']"
김병지,13,0,[]
해외반응,13,4,"['평창해외반응', '평창올림픽해외반응', '정현해외반응', '컬링해외반응']"
사회인야구,13,0,[]
지구방위대fc,13,0,[]
배트,13,4,"['거번배트', '카본배트', '알루미늄배트', '야구배트']"
동아리야구,12,0,[]
조현우,12,0,[]
이재성,12,0,[]
야구광,12,0,[]
야구리그,12,0,[]
썩코치의야구쑈,12,0,[]
대학야구,12,0,[]
epl,12,2,"['sandeeplamichhane', '#epl']"
김신욱,12,0,[]
야구동아리,12,0,[]
야구맨,12,0,[]
최진철,12,0,[]
vleague,12,5,"['toyotavleague2017', 'vleague2018', 'tr?cti?pvleague', 'nuticafevleague2018', 'vođ?chvleague']"
일본반응,12,5,"['평창일본반응', '정현일본반응', '평창올림픽일본반응', '일본반응평창개막식개회식김연아yunakim드론오륜기안정환', '일본반응쇼트트랙3000계주평창올림픽']"
오재원,12,0,[]
야구선수,12,0,[]
야구게임,12,0,[]
고등야구,12,0,[]
야구야,12,0,[]
야구레슨,12,0,[]
야구인,12,0,[]
야구쑈,12,1,['썩코치의야구쑈']
pdb,12,0,[]
야구장,12,2,"['야구장비', '야구장치어리더']"
생활체육,12,1,['생활체육지도자']
야구경기,12,0,[]
썩코치,12,1,['썩코치의야구쑈']
야구코치,12,0,[]
zlatan,12,5,"['zlatanibrahimovicdebut', 'zlatanibrahimovicgoals', 'zlatanlagalaxy', 'zlatanibrahimovic', 'lagalaxyzlatanibrahimovic']"
글러브,12,1,['글러브내기']
야구생활,12,0,[]
야구장비,12,0,[]
야구연습,12,0,[]
중국,12,5,"['중국반응', '동아시안컵축구한국-중국', '중국웨일즈', '중국어', '중국인']"
야구라이프,12,0,[]
야구팀,12,0,[]
베트남박항서,11,0,[]
live,11,10,"['livecurling', 'liverpool', 'livestream', 'livecricketscore', 'liverpoolvssouthampton3-0', 'liverpoolvssouthampton', 'liverpoolvschelsea2017', 'liverpoolvschelsea1-1', 'liverpoolvschelsea', 'liverpoolchelsea']"
game,11,123,"['gamehighlights', 'fullgamehighlights', 'games', 'clevelandcavaliersvsbostoncelticsfullgamehighlights', 'celticsvscavaliersfullgamehighlights', 'cavaliersvscelticsfullgamehighlights', 'raptorsvscavaliersfullgamehighlights', 'clevelandcavaliersvstorontoraptorsfullgamehighlights', 'cavaliersvsraptorsfullgamehighlights', 'pelicansvsgswarriorsfullgamehighlights', 'goldenstatewarriorsvsneworleanspelicansfullgamehighlights', 'gswarriorsvspelicansfullgamehighlights', 'clevelandcavaliersvsgoldenstatewarriorsfullgamehighlights', 'gswarriorsvsspursfullgamehighlights', 'goldenstatewarriorsvssanantoniospursfullgamehighlights', 'spursvsgswarriorsfullgamehighlights', 'clevelandcavaliersvsindianapacersfullgamehighlights', 'cavaliersvspacersfullgamehighlights', 'baseballgame', 'pacersvscavaliersfullgamehighlights', 'warriorsvscelticsfullgamehighlights', 'mlbgame', 'cavaliersvscelticsgame1', 'celticsvscavaliersgame1', 'semifinalgame4', 'warriorsvspelicansgame4', 'pelicansvswarriorsgame4', 'goldenstatewarriorsvsbostoncelticsfullgamehighlights', 'cavaliersvshawksfullgamehighlights', 'clevelandcavaliersvsatlantahawksfullgamehighlights', 'celticsvsbucksfullgamehighlights', 'bucksvscelticsfullgamehighlights', 'gswarriorsvsokcthunderfullgamehighlights', 'okcthundervsgswarriorsfullgamehighlights', 'oklahomacitythundervsgoldenstatewarriorsfullgamehighlights', 'cavaliersvspacersgame2', 'pacersvscavaliersgame2', 'mavericksvsgswarriorsfullgamehighlights', 'warriorsvscavaliersfullgamehighlights', 'cavaliersvswarriorsfullgamehighlights', 'goldenstatewarriorsvsdallasmavericksfullgamehighlights', 'gswarriorsvsmavericksfullgamehighlights', 'cavaliersvsgswarriorsfullgamehighlights', 'gswarriorsvscavaliersfullgamehighlights', 'raptorsvscavsgame2', 'cavaliersvsraptorsgame1', 'raptorsvscavaliersgame2', 'cavaliersvsraptorsgame2', 'celticsvscavaliersgame2', 'celticsvsbucksgame4', 'milwaukeebucksvsbostoncelticsfullgamehighlights', 'bucksvscelticsgame4', 'bostoncelticsvsmilwaukeebucksfullgamehighlights', 'cavaliersvscelticsgame2', 'raptorsvscavsgame4fullgamehighlights', 'game3fullhighlights', '2019finalsgame3cavswarriorsfullhighlights', 'pacersvscavaliersgame5', 'cavaliersvspacersgame5', 'warriorsvsrocketsgame1', 'rocketsvswarriorsgame1', 'rocketsvsgswarriorsfullgamehighlights', 'game1', 'gswarriorsvsrocketsfullgamehighlights', 'goldenstatewarriorsvshoustonrocketsfullgamehighlights', 'spursvswarriorsgame5highlights', 'warriorsvsspursgame5', 'spursvswarriorsgame5', 'sixersvscelticsfullgamehighlights', 'sixersvscelticsgame3', 'celticsvssixersgame3', 'pelicansvswarriorsgame1', 'warriorsvspelicansgame1', 'bostoncelticsvsphiladelphiasixersfullgamehighlights', 'celticsvssixersfullgamehighlights', 'game7houstonrocketsvsgoldenstate', 'warriorsvsrocketsgame7highlights', 'game2', 'fullgamehighlightsgame7', 'cavaliersvswarriorsgame1', 'warriorsvscavaliersgame1', 'warriorsvspelicansgame2', 'pelicansvswarriorsgame2', 'goldenstatewarriorsvsnewyorkknicksfullgamehighlights', 'gswarriorsvsknicksfullgamehighlights', 'clevelandcavaliersvssacramentokingsfullgamehighlights', 'cavaliersvskingsfullgamehighlights', 'knicksvsgswarriorsfullgamehighlights', 'cavaliersvsmagicfullgamehighlights', 'clevelandcavaliersvsorlandomagicfullgamehighlights', 'magicvscavaliersfullgamehighlights', 'celticsvsgswarriorsfullgamehighlights', 'bostoncelticsvsgoldenstatewarriorsfullgamehighlights', 'gswarriorsvscelticsfullgamehighlights', 'kingsvscavaliersfullgamehighlights', 'warriorsvsbullsfullgamehighlights', 'bullsvswarriorsfullgamehighlights', 'goldenstatewarriorsvschicagobullsfullgamehighlights', 'hawksvscavaliersfullgamehighlights', 'clevelandcavaliersvsphiladelphiasixerslakersfullgamehighlights', 'sixersvscavaliersfullgamehighlights', 'cavaliersvssixersfullgamehighlights', 'postgamehighlights', 'clevelandcavaliersvsoklahomacitythunderfullgamehighlights', 'thundervscavaliersfullgamehighlights', 'cavaliersvsthunderfullgamehighlights', 'cavaliersvsknicksfullgamehighlights', 'clevelandcavaliersvsnewyorkknicksfullgamehighlights', 'gswarriorsvshawksfullgamehighlights', 'hawksvsgswarriorsfullgamehighlights', 'goldenstatewarriorsvsatlantahawksfullgamehighlights', 'cavaliersvshornetsfullgamehighlights', 'clevelandcavaliersvscharlottehornetsfullgamehighlights', 'olympicgames', 'goldenstatewarriorsvsmiamiheatfullgamehighlights', 'warriorsvsheatfullgamehighlights', 'wintergames', 'nuggetsvscavaliersfullgamehighlights', 'clevelandcavaliersvsdenvernuggetsfullgamehighlights', 'cavaliersvsnuggetsfullgamehighlights', 'netsvsgswarriorsfullgamehighlights', 'goldenstatewarriorsvsbrooklynnetsfullgamehighlights', 'gswarriorsvsnetsfullgamehighlights']"
스쿨어택땅,11,0,[]
운동,11,17,"['다리살빼는운동', '다리운동', '허벅지살빼는최고의운동', '여자하체운동', '다리얇아지는운동', '누워서하는운동', '층간소음운동', '뱃살빼는운동', '복부비만운동', '누워서운동', '다이어트운동', '집에서유산소운동', '유산소운동', '살빼는운동', '삼두운동', '팔운동', '이두운동']"
fullgamehighlights,11,79,"['clevelandcavaliersvsbostoncelticsfullgamehighlights', 'celticsvscavaliersfullgamehighlights', 'cavaliersvscelticsfullgamehighlights', 'raptorsvscavaliersfullgamehighlights', 'clevelandcavaliersvstorontoraptorsfullgamehighlights', 'cavaliersvsraptorsfullgamehighlights', 'pelicansvsgswarriorsfullgamehighlights', 'goldenstatewarriorsvsneworleanspelicansfullgamehighlights', 'gswarriorsvspelicansfullgamehighlights', 'clevelandcavaliersvsgoldenstatewarriorsfullgamehighlights', 'gswarriorsvsspursfullgamehighlights', 'goldenstatewarriorsvssanantoniospursfullgamehighlights', 'spursvsgswarriorsfullgamehighlights', 'clevelandcavaliersvsindianapacersfullgamehighlights', 'cavaliersvspacersfullgamehighlights', 'pacersvscavaliersfullgamehighlights', 'warriorsvscelticsfullgamehighlights', 'goldenstatewarriorsvsbostoncelticsfullgamehighlights', 'cavaliersvshawksfullgamehighlights', 'clevelandcavaliersvsatlantahawksfullgamehighlights', 'celticsvsbucksfullgamehighlights', 'bucksvscelticsfullgamehighlights', 'gswarriorsvsokcthunderfullgamehighlights', 'okcthundervsgswarriorsfullgamehighlights', 'oklahomacitythundervsgoldenstatewarriorsfullgamehighlights', 'mavericksvsgswarriorsfullgamehighlights', 'warriorsvscavaliersfullgamehighlights', 'cavaliersvswarriorsfullgamehighlights', 'goldenstatewarriorsvsdallasmavericksfullgamehighlights', 'gswarriorsvsmavericksfullgamehighlights', 'cavaliersvsgswarriorsfullgamehighlights', 'gswarriorsvscavaliersfullgamehighlights', 'milwaukeebucksvsbostoncelticsfullgamehighlights', 'bostoncelticsvsmilwaukeebucksfullgamehighlights', 'raptorsvscavsgame4fullgamehighlights', 'rocketsvsgswarriorsfullgamehighlights', 'gswarriorsvsrocketsfullgamehighlights', 'goldenstatewarriorsvshoustonrocketsfullgamehighlights', 'sixersvscelticsfullgamehighlights', 'bostoncelticsvsphiladelphiasixersfullgamehighlights', 'celticsvssixersfullgamehighlights', 'fullgamehighlightsgame7', 'goldenstatewarriorsvsnewyorkknicksfullgamehighlights', 'gswarriorsvsknicksfullgamehighlights', 'clevelandcavaliersvssacramentokingsfullgamehighlights', 'cavaliersvskingsfullgamehighlights', 'knicksvsgswarriorsfullgamehighlights', 'cavaliersvsmagicfullgamehighlights', 'clevelandcavaliersvsorlandomagicfullgamehighlights', 'magicvscavaliersfullgamehighlights', 'celticsvsgswarriorsfullgamehighlights', 'bostoncelticsvsgoldenstatewarriorsfullgamehighlights', 'gswarriorsvscelticsfullgamehighlights', 'kingsvscavaliersfullgamehighlights', 'warriorsvsbullsfullgamehighlights', 'bullsvswarriorsfullgamehighlights', 'goldenstatewarriorsvschicagobullsfullgamehighlights', 'hawksvscavaliersfullgamehighlights', 'clevelandcavaliersvsphiladelphiasixerslakersfullgamehighlights', 'sixersvscavaliersfullgamehighlights', 'cavaliersvssixersfullgamehighlights', 'clevelandcavaliersvsoklahomacitythunderfullgamehighlights', 'thundervscavaliersfullgamehighlights', 'cavaliersvsthunderfullgamehighlights', 'cavaliersvsknicksfullgamehighlights', 'clevelandcavaliersvsnewyorkknicksfullgamehighlights', 'gswarriorsvshawksfullgamehighlights', 'hawksvsgswarriorsfullgamehighlights', 'goldenstatewarriorsvsatlantahawksfullgamehighlights', 'cavaliersvshornetsfullgamehighlights', 'clevelandcavaliersvscharlottehornetsfullgamehighlights', 'goldenstatewarriorsvsmiamiheatfullgamehighlights', 'warriorsvsheatfullgamehighlights', 'nuggetsvscavaliersfullgamehighlights', 'clevelandcavaliersvsdenvernuggetsfullgamehighlights', 'cavaliersvsnuggetsfullgamehighlights', 'netsvsgswarriorsfullgamehighlights', 'goldenstatewarriorsvsbrooklynnetsfullgamehighlights', 'gswarriorsvsnetsfullgamehighlights']"
스쿨어택,11,1,['스쿨어택땅']
개인기,11,2,"['손흥민개인기', '호날두개인기']"
영미,11,3,"['김영미', '영미모음', '여자컬링영미']"
이영표,11,0,[]
vietnamfootball,10,0,[]
tr?cti?pbongđa,10,0,[]
문재인,10,0,[]
vpf,10,2,"['vpfmedia', 'vpfchanel']"
vpfmedia,10,0,[]
tr?cti?p,10,5,"['tr?cti?pbongđa', 'tr?cti?pvtv6', 'tr?cti?pvleague', 'tr?cti?pu23vi?tnamvsu23iraq', 'tr?cti?p|hoanganhgialaivsb.binhd??ng']"
쇼트트랙,10,1,['일본반응쇼트트랙3000계주평창올림픽']
vpfchanel,10,0,[]
차범근,10,0,[]
bongđanam,10,0,[]
프동야,10,0,[]
cleveland,10,39,"['clevelandcavaliers', 'clevelandcavaliersvsbostoncelticsfullgamehighlights', 'clevelandcavaliersvsbostoncelticshighlights', 'clevelandvsboston', 'clevelandvstoronto', 'clevelandcavaliersvstorontoraptorshighlights', 'clevelandcavaliersvstorontoraptorsfullgamehighlights', 'clevelandcavaliersvsgoldenstatewarriorsfullgamehighlights', 'clevelandcavaliersvsindianapacersfullgamehighlights', 'clevelandcavaliersvsindianapacershighlights', 'clevelandvsindiana', 'clevelandvsatlanta', 'clevelandcavaliersvsatlantahawksfullgamehighlights', 'clevelandcavaliersvsatlantahawkshighlights', 'goldenstatevscleveland', 'clevelandcavaliersvsgoldenstatewarriorshighlights', 'clevelandvsgoldenstate', 'goldenstatewarriorsvsclevelandcavaliers', 'clevelandcavaliersvssacramentokingshighlights', 'clevelandcavaliersvssacramentokingsfullgamehighlights', 'clevelandcavaliersvsorlandomagicfullgamehighlights', 'clevelandvsorlando', 'clevelandcavaliersvsorlandomagichighlight', 'clevelandvssacramento', 'clevelandcavaliersvsphiladelphiasixerslakersfullgamehighlights', 'clevelandvsphiladelphia', 'clevelandcavaliersvsphiladelphiasixershighlights', 'clevelandcavaliersvsoklahomacitythunderfullgamehighlights', 'oklahomacitythundervsclevelandcavaliershighlights', 'clevelandvsoklahomacity', 'clevelandcavaliersvsnewyorkknickshighlights', 'clevelandvsnewyork', 'clevelandcavaliersvsnewyorkknicksfullgamehighlights', 'clevelandvscharlotte', 'clevelandcavaliersvscharlottehornetshighlights', 'clevelandcavaliersvscharlottehornetsfullgamehighlights', 'clevelandvsdenver', 'clevelandcavaliersvsdenvernuggetshighlights', 'clevelandcavaliersvsdenvernuggetsfullgamehighlights']"
olympics,10,3,"['winterolympicsport', 'paraolympics', 'pyeongchangolympics']"
평양올림픽,10,0,[]
평창반응,10,0,[]
여자컬링,10,30,"['여자컬링영미', '여자컬링안경선배', '여자컬링후지사와', '여자컬링김은정나이', '평창동계올림픽여자컬링', '여자컬링결혼', '여자컬링김초희', '여자컬링주장', '여자컬링순위', '여자컬링김은지', '여자컬링꼬부기', '여자컬링메달', '여자컬링김은정결혼', '여자컬링의성', '여자컬링이슬비', '여자컬링분선', '여자컬링김은정인스타', '여자컬링남편', '여자컬링안경언니', '여자컬링국가대표', '여자컬링일본', '여자컬링김지선', '여자컬링예선', '여자컬링김은정', '여자컬링결선', '여자컬링안경', '여자컬링김은정남편', '여자컬링바나나', '여자컬링해외언론', '한국여자컬링']"
한국프로야구,10,0,[]
챔스,10,9,"['챔스아포엘전', '챔스하이라이트', '챔스오프닝', '챔스준결승', '챔스조추첨', '챔스4강', '챔스명경기', '챔스레전드', '챔스골모음']"
즐라탄,10,9,"['즐라탄맨유', '즐라탄la갤럭시데뷔전', '즐라탄데뷔전', '즐라탄데뷔골', '즐라탄역전골', '즐라탄이브라히모비치', '즐라탄이적', '즐라탄la갤럭시', '즐라탄하이라이트']"
worldchampionship,9,1,['worldwomen’schampionshipswomen’sworldchampionship']
olympicwintersport,9,0,[]
womeninsport,9,0,[]
laliga,9,0,[]
윤성빈,9,1,['윤성빈스켈레톤평창올림픽김연아손흥민아이언맨']
worldwomen’schampionshipswomen’sworldchampionship,9,0,[]
wintersport,9,1,['olympicwintersport']
worldcurlingfederation,9,0,[]
worldcurling,9,2,"['worldcurlingfederation', 'worldcurlingtv']"
northbay,9,0,[]
베트남우즈벡,9,0,[]
goldenstate,9,42,"['goldenstatewarriors', 'goldenstatewarriorsvsneworleanspelicanshighlights', 'goldenstatewarriorsvsneworleanspelicansfullgamehighlights', 'goldenstatevsneworleans', 'clevelandcavaliersvsgoldenstatewarriorsfullgamehighlights', 'goldenstatewarriorsvssanantoniospurshighlights', 'goldenstatevssanantonio', 'goldenstatewarriorsvssanantoniospursfullgamehighlights', 'goldenstatevsboston', 'goldenstatewarriorsvsbostoncelticshighlights', 'goldenstatewarriorsvsbostoncelticsfullgamehighlights', 'oklahomacityvsgoldenstate', 'oklahomacitythundervsgoldenstatewarriorshighlights', 'oklahomacitythundervsgoldenstatewarriorsfullgamehighlights', 'goldenstatevscleveland', 'goldenstatewarriorsvsdallasmavericksfullgamehighlights', 'goldenstatewarriorsvsdallasmaverickshighlights', 'goldenstatevsdallas', 'clevelandcavaliersvsgoldenstatewarriorshighlights', 'clevelandvsgoldenstate', 'goldenstatewarriorsvsclevelandcavaliers', 'goldenstatewarriorsvshoustonrocketshighlights', 'goldenstatewarriorsvshoustonrocketsfullgamehighlights', 'goldenstatevshouston', 'goldenstatevspelicans', 'game7houstonrocketsvsgoldenstate', 'goldenstatewarriorsvsnewyorkknickshighlights', 'goldenstatewarriorsvsnewyorkknicksfullgamehighlights', 'goldenstatevsknicks', 'bostoncelticsvsgoldenstatewarriorsfullgamehighlights', 'goldenstatewarriorsvschicagobullshighlights', 'goldenstatevschicago', 'goldenstatewarriorsvschicagobullsfullgamehighlights', 'goldenstatewarriorsvsatlantahawkshighlights', 'goldenstatewarriorsvsatlantahawksfullgamehighlights', 'goldenstatevsatlanta', 'goldenstatewarriorsvsmiamiheatfullgamehighlights', 'goldenstatevsmiami', 'goldenstatewarriorsvsmiamiheathighlights', 'goldenstatewarriorsvsbrooklynnetshighlights', 'goldenstatevsbrooklyn', 'goldenstatewarriorsvsbrooklynnetsfullgamehighlights']"
realmadrid,9,7,"['atleticomadridvsrealmadrid0-0', 'atleticomadridvsrealmadridallgoals', 'atleticomadridvsrealmadrid2017', 'atleticomadridvsrealmadrid', 'atleticomadridvsrealmadridhighlights', 'realmadridvsatletico0-0', 'realmadridhighlights']"
화제,9,0,[]
wwcc2018,9,0,[]
livecurling,9,0,[]
테니스,9,10,"['정현테니스', '호주오픈테니스', '테니스영상', '호즈테니스대회', '테니스샌드그렌', '테니스그랜드슬램', '정현테니스중계', '테니스황제', '테니스샌드그렌테니스', '한국테니스']"
winterolympicsport,9,0,[]
can,9,14,"['canada', 'goldenstatewarriorsvsneworleanspelicanshighlights', 'pelicansvsgswarriorsfullgamehighlights', 'goldenstatewarriorsvsneworleanspelicansfullgamehighlights', 'neworleanspelicans', 'gswarriorsvspelicansfullgamehighlights', 'americanfootball', 'warriorsvspelicansgame4', 'pelicansvswarriorsgame4', 'pelicansvswarriorsgame1', 'warriorsvspelicansgame1', 'goldenstatevspelicans', 'warriorsvspelicansgame2', 'pelicansvswarriorsgame2']"
2018afcu-23,9,0,[]
페더러,9,3,"['정현페더러', '로저페더러', '페더러베르디흐']"
worldcurlingtv,9,0,[]
women’scurling,9,0,[]
wcf,9,0,[]
호주오픈,9,1,['호주오픈테니스']
canada,9,0,[]
championships,9,1,['worldwomen’schampionshipswomen’sworldchampionship']
메시,9,3,"['메시스폐셜', '메시드리블', '호날두메시']"
wctv,9,0,[]
베트남우승,8,0,[]
이강인,8,0,[]
vietnam,8,7,"['vietnamfootball', 'u23vietnam', 'vietnamsoccer', '#vietnamhighlights', 'u23vietnamvsu23hanquoc', 'u23vietnamlamnenl?chs?', 'u23vietnamvsu23iraq']"
베트남8강,8,0,[]
메이저리그,8,0,[]
개막식반응,8,0,[]
올림픽개막식,8,1,['평창올림픽개막식']
mbcsportsplus,8,0,[]
bongđavi?tnam,8,0,[]
mbc스포츠플러스,8,0,[]
베트남카타르,8,0,[]
철맨,8,0,[]
vff,8,2,"['vffchannel', 'vffnews']"
rapidhighlights,8,0,[]
석현준,8,4,"['석현준트루아', '석현준하이라이트', '석현준스페셜', '석현준멀티골']"
parkhang-seo,8,0,[]
hoanganhgialai,8,2,"['hoanganhgialaivsb.binhd??ng', 'tr?cti?p|hoanganhgialaivsb.binhd??ng']"
아싸비오,8,0,[]
assabio,8,0,[]
해축갤,8,0,[]
